day,lang,n,mean_score,negative_fraction,neutral_fraction,positive_fraction,mean_max_probability
2026-08-17,ar,100,0.11390182547271252,0.26,0.27,0.47,0.6895913138985634
2026-08-17,de,32,-0.22271402389742434,0.375,0.5,0.125,0.711885224096477
2026-08-17,en,100,-0.0380427473038435,0.33,0.38,0.29,0.6933153301477433
2026-08-17,es,100,-0.18008957289159297,0.42,0.35,0.23,0.7117810475826264
2026-08-17,fa,50,-0.29327138751745224,0.54,0.28,0.18,0.6655617696046829
2026-08-17,fr,100,-0.17721675910055637,0.51,0.23,0.26,0.711939497590065
2026-08-17,hi,49,-0.04018121615660434,0.3877551020408163,0.3877551020408163,0.22448979591836735,0.5673377890976108
2026-08-17,in,50,-0.14217948734760286,0.38,0.4,0.22,0.6144363385438919
2026-08-17,it,42,-0.41894054585801704,0.6666666666666666,0.21428571428571427,0.11904761904761904,0.7774245320331483
2026-08-17,ja,50,0.1258723696321249,0.32,0.32,0.36,0.6783032810688019
2026-08-17,ko,50,-0.08636571310460567,0.4,0.26,0.34,0.6290931749343872
2026-08-17,pt,100,-0.27039560712873933,0.49,0.38,0.13,0.7006117117404937
2026-08-17,ru,38,-0.05464228036764421,0.39473684210526316,0.39473684210526316,0.21052631578947367,0.6503602109457317
2026-08-17,th,50,0.04910978406667709,0.2,0.42,0.38,0.5870711570978164
2026-08-17,tr,50,-0.0534032142162323,0.4,0.38,0.22,0.6357744497060775
2026-08-17,zh,42,-0.16465551565800393,0.40476190476190477,0.47619047619047616,0.11904761904761904,0.5370290463878995
2026-08-18,ar,100,0.15455380715429784,0.27,0.26,0.47,0.6782736533880234
2026-08-18,de,48,-0.12088586882843326,0.3541666666666667,0.4583333333333333,0.1875,0.7176457531750202
2026-08-18,en,100,0.0006042914465069771,0.27,0.44,0.29,0.6843189778923988
2026-08-18,es,100,-0.12135598424822092,0.35,0.41,0.24,0.7124920731782913
2026-08-18,fa,50,-0.1602909155189991,0.54,0.18,0.28,0.6224676257371903
2026-08-18,fr,100,-0.16292635306715966,0.56,0.19,0.25,0.706649840772152
2026-08-18,hi,37,-0.05117878579610103,0.40540540540540543,0.32432432432432434,0.2702702702702703,0.5525748721651129
2026-08-18,in,50,-0.04097139880061149,0.36,0.36,0.28,0.6362676084041595
2026-08-18,it,41,-0.3400016163543957,0.6341463414634146,0.17073170731707318,0.1951219512195122,0.7797412232654851
2026-08-18,ja,50,0.09452430285513401,0.26,0.4,0.34,0.6793173813819885
2026-08-18,ko,50,0.016350136250257493,0.32,0.28,0.4,0.6367551964521408
2026-08-18,pt,100,-0.2420666990429163,0.52,0.22,0.26,0.7359493282437325
2026-08-18,ru,32,-0.0686076917918399,0.3125,0.46875,0.21875,0.6536350734531879
2026-08-18,th,50,0.038804519549012186,0.38,0.26,0.36,0.6316707688570022
2026-08-18,tr,50,-0.09135481297969818,0.38,0.4,0.22,0.6650614845752716
2026-08-18,zh,50,-0.11240440413355827,0.36,0.42,0.22,0.578948900103569
2026-08-19,ar,100,0.11488184243440629,0.25,0.36,0.39,0.6814761206507682
2026-08-19,de,31,-0.18527125332865022,0.45161290322580644,0.3548387096774194,0.1935483870967742,0.7238197730433557
2026-08-19,en,100,-0.027658642660826446,0.29,0.46,0.25,0.7123928573727608
2026-08-19,es,100,-0.14795357756316663,0.44,0.34,0.22,0.7415879398584366
2026-08-19,fa,48,-0.1493824419255058,0.4791666666666667,0.2708333333333333,0.25,0.6062540523707867
2026-08-19,fr,100,-0.06537084009498358,0.43,0.27,0.3,0.6971928989887237
2026-08-19,hi,37,0.03487092457913064,0.2702702702702703,0.40540540540540543,0.32432432432432434,0.5685048079168474
2026-08-19,in,50,-0.18535624608397483,0.46,0.36,0.18,0.6762746846675873
2026-08-19,it,44,-0.20776378448036584,0.4090909090909091,0.36363636363636365,0.22727272727272727,0.7363193292509426
2026-08-19,ja,50,0.15065061017870904,0.22,0.32,0.46,0.6469627833366394
2026-08-19,ko,50,0.0474760314822197,0.34,0.32,0.34,0.656373815536499
2026-08-19,pt,100,-0.20870836418122052,0.47,0.3,0.23,0.7228160431981087
2026-08-19,ru,23,-0.12089083862045537,0.43478260869565216,0.391304347826087,0.17391304347826086,0.6075111588706141
2026-08-19,th,50,0.1656866017729044,0.14,0.5,0.36,0.6297423148155212
2026-08-19,tr,50,-0.100497667491436,0.38,0.4,0.22,0.6362240290641785
2026-08-19,zh,50,-0.07586859479546547,0.38,0.46,0.16,0.5896109223365784
2026-08-20,ar,100,0.11526426523923874,0.28,0.31,0.41,0.7022854247689247
2026-08-20,de,29,-0.16258832144326177,0.4827586206896552,0.2413793103448276,0.27586206896551724,0.7394928099780247
2026-08-20,en,100,-0.13287064781412483,0.41,0.36,0.23,0.6801228830218315
2026-08-20,es,100,-0.19760204816237092,0.43,0.38,0.19,0.7339405378699303
2026-08-20,fa,50,-0.13207577913999557,0.44,0.3,0.26,0.5917904531955719
2026-08-20,fr,100,0.020918614119291305,0.35,0.27,0.38,0.7162854573130608
2026-08-20,hi,48,0.040795724373310804,0.3125,0.3541666666666667,0.3333333333333333,0.5682009899367889
2026-08-20,in,50,-0.05064778700470925,0.44,0.26,0.3,0.5943081521987915
