day,lang,tweets,authors,originals,rt_tweets,likes,views,retweets,body_nonnull,body_null_or_empty,created_at_null,partial_day
2026-08-17,<ALL>,21847048,3591928,8502234,13344814,859246797,50922028513,102698593,21846952,96,0,False
2026-08-17,am,733,280,399,334,5154,537665,1359,733,0,0,False
2026-08-17,ar,435376,106032,243856,191520,12615296,1976898217,1424625,435376,0,0,False
2026-08-17,art,81819,63418,67268,14551,681857,59937453,70963,81819,0,0,False
2026-08-17,bg,1225,639,815,410,14113,610360,1156,1225,0,0,False
2026-08-17,bn,1880,703,1278,602,24523,2136778,3102,1880,0,0,False
2026-08-17,bo,23,20,8,15,204,4820,7,23,0,0,False
2026-08-17,ca,47597,24308,14421,33176,1124307,68830290,147425,47597,0,0,False
2026-08-17,ckb,992,347,567,425,11080,491505,1321,992,0,0,False
2026-08-17,cs,12206,6579,5591,6615,420114,19796901,34900,12206,0,0,False
2026-08-17,cy,8676,8183,3262,5414,310561,13399719,27282,8676,0,0,False
2026-08-17,da,11079,9378,4485,6594,476766,22166060,40427,11079,0,0,False
2026-08-17,de,98909,37442,33653,65256,3226857,158777702,397750,98908,1,0,False
2026-08-17,dv,699,184,382,317,1967,469898,1396,699,0,0,False
2026-08-17,el,25996,4786,9016,16980,270811,15707351,47745,25996,0,0,False
2026-08-17,en,8047158,1645699,2584664,5462494,360937015,19146995909,38687406,8047139,19,0,False
2026-08-17,es,1564510,374123,535544,1028966,64650113,2780257969,8116221,1564509,1,0,False
2026-08-17,et,45139,37053,15036,30103,1542659,73204823,237913,45139,0,0,False
2026-08-17,eu,12211,10806,4097,8114,505686,16159950,57161,12211,0,0,False
2026-08-17,fa,105008,26351,48958,56050,3852670,123564213,200669,105007,1,0,False
2026-08-17,fi,14954,9737,5958,8996,486139,28391709,42202,14954,0,0,False
2026-08-17,fr,389885,117312,145584,244301,14346968,1071413623,1507956,389882,3,0,False
2026-08-17,gu,895,313,574,321,13088,966655,2507,895,0,0,False
2026-08-17,hi,147171,36590,45526,101645,4582284,213885834,1052637,147169,2,0,False
2026-08-17,ht,32357,26888,13444,18913,1287249,51754311,131548,32357,0,0,False
2026-08-17,hu,7471,6423,2469,5002,365085,9026168,44891,7471,0,0,False
2026-08-17,hy,137,49,127,10,346,24616,16,137,0,0,False
2026-08-17,in,432662,153841,196577,236085,17556884,762495855,2975013,432661,1,0,False
2026-08-17,is,2293,2111,1080,1213,78852,2288774,7343,2293,0,0,False
2026-08-17,it,97951,38849,44076,53875,2694519,156434343,257155,97951,0,0,False
2026-08-17,iw,21513,5445,11075,10438,734055,37510857,47761,21513,0,0,False
2026-08-17,ja,5324702,1121815,2658996,2665706,163688475,14329157414,17646308,5324673,29,0,False
2026-08-17,ka,175,157,51,124,1983,59737,533,175,0,0,False
2026-08-17,km,123,55,87,36,1618,101503,126,123,0,0,False
2026-08-17,kn,1834,697,963,871,36578,1960953,4137,1834,0,0,False
2026-08-17,ko,632141,157556,280142,351999,18992036,1375571851,3913537,632140,1,0,False
2026-08-17,lo,56,47,37,19,762,48478,25,56,0,0,False
2026-08-17,lt,5042,4853,2178,2864,215787,9625372,22837,5042,0,0,False
2026-08-17,lv,4680,3042,2351,2329,93198,4429246,9667,4680,0,0,False
2026-08-17,ml,2143,714,1278,865,40722,1854767,3378,2142,1,0,False
2026-08-17,mr,7229,2489,2542,4687,125362,6055274,28784,7229,0,0,False
2026-08-17,my,1881,540,913,968,4527,255613,1199,1881,0,0,False
2026-08-17,ne,4617,1700,2928,1689,32100,2780878,4807,4616,1,0,False
2026-08-17,nl,40602,19333,16317,24285,961045,57070145,146575,40602,0,0,False
2026-08-17,no,8332,7156,3588,4744,361834,15131729,34846,8332,0,0,False
2026-08-17,or,839,246,563,276,16487,991644,2056,837,2,0,False
2026-08-17,pa,556,195,309,247,4374,260083,1972,556,0,0,False
2026-08-17,pl,94634,27434,30585,64049,2837828,166888958,324318,94634,0,0,False
2026-08-17,ps,4328,1163,2669,1659,86513,5258073,9398,4328,0,0,False
2026-08-17,pt,1076304,254793,447439,628865,51393037,1760492389,5506082,1076303,1,0,False
2026-08-17,qam,15508,9613,6295,9213,7973,2290876,826,15506,2,0,False
2026-08-17,qct,514,373,419,95,3176,302286,268,514,0,0,False
2026-08-17,qht,28730,20775,20988,7742,216592,10213256,24079,28730,0,0,False
2026-08-17,qme,328752,245655,79698,249054,13684170,391411007,1494703,328749,3,0,False
2026-08-17,qst,45336,38805,38901,6435,488208,38846106,30013,45336,0,0,False
2026-08-17,ro,13093,10990,4848,8245,549924,22780294,48322,13093,0,0,False
2026-08-17,ru,46048,13244,28331,17717,1601456,62552829,86827,46047,1,0,False
2026-08-17,sd,399,191,160,239,1038,36950,236,399,0,0,False
2026-08-17,si,237,79,198,39,1242,97660,62,237,0,0,False
2026-08-17,sl,7894,4131,2608,5286,211529,6880758,28987,7894,0,0,False
2026-08-17,sr,5220,2012,2418,2802,85597,3417862,10299,5220,0,0,False
2026-08-17,sv,16046,8087,6818,9228,472958,28039173,51480,16046,0,0,False
2026-08-17,ta,48220,7807,11208,37012,1360749,59990570,325243,48213,7,0,False
2026-08-17,te,11065,3294,3394,7671,344107,21621634,58236,11064,1,0,False
2026-08-17,th,589040,78677,90981,498059,12307401,664785450,8149287,589023,17,0,False
2026-08-17,tl,134791,76462,53502,81289,4054169,149341074,580188,134791,0,0,False
2026-08-17,tr,457778,114131,220528,237250,27707532,2450324510,1598952,457776,2,0,False
2026-08-17,ug,4,4,1,3,1,399,0,4,0,0,False
2026-08-17,uk,12843,3949,6631,6212,350760,14143215,32253,12843,0,0,False
2026-08-17,und,227007,162310,75764,151243,7994736,265219477,1194409,227007,0,0,False
2026-08-17,ur,59229,10442,18160,41069,1440205,47034020,422148,59229,0,0,False
2026-08-17,vi,16178,7408,9303,6875,429999,41721174,38898,16178,0,0,False
2026-08-17,zh,90707,38483,54051,36656,2847435,442996811,240378,90707,0,0,False
2026-08-17,zxx,833666,487410,273303,560363,51374352,1645846687,5054057,833666,0,0,False
2026-08-18,<ALL>,22666648,3729299,8858925,13807723,871455903,52937825951,105669642,22666486,162,0,False
2026-08-18,<NULL>,1,1,1,0,16,0,0,1,0,0,False
2026-08-18,am,903,365,509,394,7997,756308,2087,903,0,0,False
2026-08-18,ar,456802,109985,253213,203589,13003594,1932858859,1460428,456795,7,0,False
2026-08-18,art,86975,67010,71076,15899,717784,64300173,65973,86975,0,0,False
2026-08-18,bg,1363,725,944,419,31795,854419,1742,1363,0,0,False
2026-08-18,bn,1706,654,1263,443,20757,1163471,2569,1706,0,0,False
2026-08-18,bo,17,14,9,8,81,2786,14,17,0,0,False
2026-08-18,ca,49980,26405,14849,35131,1167685,80442700,145551,49980,0,0,False
2026-08-18,ckb,897,273,489,408,6150,289100,292,897,0,0,False
2026-08-18,cs,12434,6798,5583,6851,410410,21550070,32981,12434,0,0,False
2026-08-18,cy,9503,8939,3889,5614,421380,14411467,36240,9503,0,0,False
2026-08-18,da,11500,9907,4441,7059,453058,19109409,37057,11500,0,0,False
2026-08-18,de,101761,38363,35216,66545,3257369,132410866,413291,101757,4,0,False
2026-08-18,dv,800,195,403,397,1915,487575,1318,800,0,0,False
2026-08-18,el,27770,5076,9651,18119,303679,14996714,51630,27768,2,0,False
2026-08-18,en,8263710,1688480,2690446,5573264,361065700,19750985419,38438216,8263682,28,0,False
2026-08-18,es,1689277,399334,578083,1111194,68787598,3080678872,8865476,1689274,3,0,False
2026-08-18,et,44464,35519,15583,28881,1404700,80376504,220077,44464,0,0,False
2026-08-18,eu,10758,9879,4479,6279,350005,13072750,40367,10758,0,0,False
2026-08-18,fa,107517,27084,48930,58587,4130060,122051547,210113,107515,2,0,False
2026-08-18,fi,15167,9007,6627,8540,527375,28058120,38445,15167,0,0,False
2026-08-18,fr,404544,119414,153567,250977,13120553,1014064130,1416594,404541,3,0,False
2026-08-18,gu,922,328,580,342,16011,1281462,2874,922,0,0,False
2026-08-18,hi,149528,37299,46066,103462,4111504,189013936,992159,149519,9,0,False
2026-08-18,ht,32608,27905,14313,18295,1051654,49976967,102528,32608,0,0,False
2026-08-18,hu,6284,5401,2662,3622,316383,22247648,18707,6281,3,0,False
2026-08-18,hy,168,69,156,12,467,54164,15,168,0,0,False
2026-08-18,in,453167,157137,200978,252189,17015566,750130764,3136779,453167,0,0,False
2026-08-18,is,2426,2187,1185,1241,89763,2429034,7344,2426,0,0,False
2026-08-18,it,98359,39426,44091,54268,2557839,151478692,238569,98359,0,0,False
2026-08-18,iw,22234,5466,11450,10784,926941,39009713,54479,22234,0,0,False
2026-08-18,ja,5627092,1180639,2764405,2862687,168657440,15047880413,19898136,5627060,32,0,False
2026-08-18,ka,112,86,49,63,445,17945,69,112,0,0,False
2026-08-18,km,110,54,83,27,1470,98004,52,107,3,0,False
2026-08-18,kn,2169,756,1049,1120,45437,2232972,5610,2169,0,0,False
2026-08-18,ko,641194,161138,284720,356474,18930630,1437293894,4217510,641193,1,0,False
2026-08-18,lo,52,33,38,14,765,38216,9,52,0,0,False
2026-08-18,lt,5351,5161,2332,3019,212019,7094301,18787,5351,0,0,False
2026-08-18,lv,5505,3376,2625,2880,122877,6613407,14798,5505,0,0,False
2026-08-18,ml,2201,693,1378,823,25540,1315138,2436,2201,0,0,False
2026-08-18,mr,8331,2829,2797,5534,149962,6364157,31371,8324,7,0,False
2026-08-18,my,2697,606,1312,1385,13705,405305,3626,2697,0,0,False
2026-08-18,ne,4290,1557,2641,1649,48496,2956831,6428,4287,3,0,False
2026-08-18,nl,45672,21314,17687,27985,1171121,63132810,164359,45671,1,0,False
2026-08-18,no,9184,7527,4054,5130,427080,17418673,33996,9184,0,0,False
2026-08-18,or,749,238,482,267,15055,792470,2142,747,2,0,False
2026-08-18,pa,674,260,286,388,7222,399643,2469,673,1,0,False
2026-08-18,pl,98266,27086,30916,67350,2674855,151300148,319645,98265,1,0,False
2026-08-18,ps,4590,1093,3090,1500,59851,3842834,6868,4590,0,0,False
2026-08-18,pt,1121801,259839,466307,655494,53511860,1929959957,5361103,1121801,0,0,False
2026-08-18,qam,15975,9787,6411,9564,25655,2030214,2090,15973,2,0,False
2026-08-18,qct,525,406,407,118,3506,285526,331,525,0,0,False
2026-08-18,qht,27988,20394,20257,7731,252099,10736414,27630,27988,0,0,False
2026-08-18,qme,321259,240122,79624,241635,14030809,386964055,1409295,321256,3,0,False
2026-08-18,qst,45409,38262,39857,5552,544400,37620251,31428,45409,0,0,False
2026-08-18,ro,13000,11112,4839,8161,525840,33959722,46992,13000,0,0,False
2026-08-18,ru,47151,13820,28694,18457,1555992,63089663,79811,47145,6,0,False
2026-08-18,sd,423,221,182,241,1266,46087,271,423,0,0,False
2026-08-18,si,292,87,227,65,1445,100628,126,292,0,0,False
2026-08-18,sl,8524,3916,2882,5642,219635,6344284,29360,8524,0,0,False
2026-08-18,sr,5436,2093,2416,3020,76217,2993781,9218,5436,0,0,False
2026-08-18,sv,15839,7731,6723,9116,485016,27359036,48895,15839,0,0,False
2026-08-18,ta,44651,7724,10857,33794,992455,51769098,256849,44644,7,0,False
2026-08-18,te,10974,3212,3430,7544,305449,18659794,50872,10970,4,0,False
2026-08-18,th,581367,79391,92106,489261,11811409,674194603,8036322,581351,16,0,False
2026-08-18,tl,131011,74826,52150,78861,3753627,145840271,543316,131011,0,0,False
2026-08-18,tr,473440,112192,244297,229143,31030534,2658884476,1614256,473429,11,0,False
2026-08-18,ug,3,3,2,1,246,1548,15,3,0,0,False
2026-08-18,uk,14112,4102,7179,6933,429016,15754241,37250,14112,0,0,False
2026-08-18,und,230625,164853,77385,153240,7860413,308436221,1171426,230625,0,0,False
2026-08-18,ur,78535,12162,25953,52582,3840627,95232052,904669,78535,0,0,False
2026-08-18,vi,17105,7578,9650,7455,460555,33595365,82454,17105,0,0,False
2026-08-18,zh,96605,41524,55862,40743,3575364,574687694,285328,96605,0,0,False
2026-08-18,zxx,842814,490969,280552,562262,48322709,1531540170,4878109,842813,1,0,False
2026-08-19,<ALL>,23307289,3809160,9173319,14133970,899380061,54922534832,108517912,23307106,183,0,False
2026-08-19,<NULL>,1,1,1,0,3,0,0,1,0,0,False
2026-08-19,am,892,361,482,410,6702,664167,1802,892,0,0,False
2026-08-19,ar,460122,110603,254249,205873,13043909,1879203450,1410415,460114,8,0,False
2026-08-19,art,91766,70143,75337,16429,809839,62166663,64120,91766,0,0,False
2026-08-19,bg,1477,737,1028,449,15922,568888,1187,1477,0,0,False
2026-08-19,bn,1822,660,1275,547,18574,1462019,2696,1822,0,0,False
2026-08-19,bo,9,6,5,4,27,680,1,9,0,0,False
2026-08-19,ca,49621,25310,15896,33725,1086875,56464956,142177,49621,0,0,False
2026-08-19,ckb,649,249,525,124,6973,296431,289,649,0,0,False
2026-08-19,cs,13217,7025,6076,7141,404280,19114763,35871,13217,0,0,False
2026-08-19,cy,9918,9485,3570,6348,364320,16460645,40599,9918,0,0,False
2026-08-19,da,11997,10095,5213,6784,390490,20386556,33807,11997,0,0,False
2026-08-19,de,101797,36804,36923,64874,3340344,136898127,408383,101794,3,0,False
2026-08-19,dv,994,243,485,509,2593,522221,1842,994,0,0,False
2026-08-19,el,28253,5198,9900,18353,286107,15859483,50738,28251,2,0,False
2026-08-19,en,8627661,1742627,2845442,5782219,384239393,21303880837,40491453,8627633,28,0,False
2026-08-19,es,1737045,406547,600947,1136098,68663084,2926714102,8811572,1737035,10,0,False
2026-08-19,et,47702,38599,16159,31543,1810138,60098513,240594,47702,0,0,False
2026-08-19,eu,10415,9519,4438,5977,373719,12283096,34409,10415,0,0,False
2026-08-19,fa,112102,27558,52294,59808,4251508,126128549,228557,112098,4,0,False
2026-08-19,fi,15640,9337,6625,9015,508368,25014429,42596,15640,0,0,False
2026-08-19,fr,410710,120238,159643,251067,14537591,1070297025,1509378,410709,1,0,False
2026-08-19,gu,1171,362,747,424,15515,1549876,2813,1171,0,0,False
2026-08-19,hi,146709,38524,45691,101018,4062092,192246932,980510,146699,10,0,False
