topic,label,peak_day,peak_tweets,share_lift,peak_n,baseline_n,peak_mean,baseline_mean,mean_shift,language_adjusted_shift,language_adjusted_q,strong_sentiment_shift,unsupported_peak_posts,unsupported_baseline_posts
#verzuz,#verzuz,2026-08-21,11998,213.04623249970774,193,124,0.011308634103579842,0.19357970107587114,-0.18227106697229128,-0.18933347472046896,0.008208736692135378,True,7,3
entity:jungkook,Jungkook,2026-08-31,85645,4.973190278606659,160,222,0.35263617208693177,-0.08990071732383054,0.4425368894107623,0.42253699824149293,2.86063480608313e-12,True,40,78
entity:mainoo,Kobbie Mainoo,2026-08-30,20348,17.83983691038714,182,269,0.12138188802278958,-0.12759442959105435,0.24897631761384392,0.2560463708752019,0.00010572171267000146,True,18,31
entity:bruno-fernandes,Bruno Fernandes,2026-08-25,26072,7.374234076532703,195,274,0.29849188547485916,0.020598417018832516,0.27789346845602664,0.30747008749732707,6.209539938253495e-07,True,5,26
entity:michael-jackson,Michael Jackson,2026-08-29,16333,5.405172820633644,191,280,0.3097050431238107,-0.037145161854901486,0.34685020497871216,0.3330359538193328,5.431361886263387e-09,True,9,20
entity:playstation,PlayStation,2026-09-10,1451,5.881520840596806,185,267,-0.4306194460271178,-0.061958289771490774,-0.36866115625562706,-0.3642197280273608,5.892273927387617e-11,True,15,33
entity:charlie-kirk,Charlie Kirk,2026-09-10,4365,10.812589528802853,192,279,-0.2209130497649312,-0.4291679550723363,0.2082549053074051,0.23513346010277955,7.738814192030859e-05,True,8,21
entity:vmas,MTV Video Music Awards,2026-08-18,38747,9.28282528890267,182,267,-0.09718977117522078,0.08486943055041944,-0.18205920172564022,-0.18754394176919156,0.0027356280978007752,True,18,33
entity:aew,All Elite Wrestling,2026-08-30,20475,6.788543945905613,191,281,0.18321078141946442,-0.016918974593812038,0.20012975601327646,0.20041915994738682,0.0037476592036344903,True,9,19
entity:manchester-united,Manchester United,2026-08-22,70438,4.338980952919939,189,286,-0.2349185943800621,-0.013057336054898642,-0.22186125832516346,-0.20230625135789324,0.0017243994553010917,True,11,14
