topic,label,family,total_tweets,peak_day,peak_tweets,peak_authors,peak_originals,peak_rt_fraction,peak_likes,peak_views,peak_retweets,peak_per_100k,baseline_per_100k,share_lift,spike_score,baseline_tweets,low_baseline,window_boundary_peak,language_adjusted_share_lift
#happyjkday,#happyjkday,Hashtag / unclassified,35107,2026-08-31,30559,17291,6709,0.7804574757027389,867813,9806666,383928,160.42228558946542,0.1144966919163811,1399.2901606735195,107.92677507755468,380,False,True,
#pokemonpersonalityquiz,#pokemonpersonalityquiz,Hashtag / unclassified,16880,2026-08-24,16749,16477,16285,0.027703146456504846,67183,5887921,2275,70.34803017325255,0.04004552987218005,1750.0738970039974,104.7817985121969,131,False,False,
#healinggratis,#healinggratis,Hashtag / unclassified,7383,2026-08-30,7296,752,4384,0.3991228070175439,19449,344737,9135,30.767375280589945,0.02475376217991678,1235.3965644816387,91.36064195396682,81,False,False,
#gaboronerevival,#gaboronerevival,Hashtag / unclassified,6708,2026-08-29,6610,744,4487,0.3211800302571861,16128,257718,7459,28.782118405716226,0.029880711716720094,958.4169716849896,87.12492210444385,98,False,False,
#megawordablaze,#megawordablaze,Hashtag / unclassified,7679,2026-08-22,7549,730,4671,0.3812425486819446,16390,311804,6934,32.71389563994278,0.03965099849937441,821.9392558185125,86.4614390485993,130,False,False,
#botswanawordexpo,#botswanawordexpo,Hashtag / unclassified,8311,2026-08-28,8112,777,5123,0.36846646942800787,20673,326943,10645,29.500850840614238,0.06152630278042773,478.3113132270824,80.12714178394262,199,False,False,
#verzuz,#verzuz,Hashtag / unclassified,12751,2026-08-21,11998,5104,4620,0.6149358226371062,293634,14244739,56239,48.79614088330044,0.2288964750485208,213.04623249970774,72.65180889238951,747,False,False,
#prepareinhaste,#prepareinhaste,Hashtag / unclassified,2419,2026-08-17,2362,349,1328,0.4377646062658763,4300,101668,2128,10.811529319659114,0.017320523046127325,618.9065002306043,72.03425123535143,57,False,True,
#whybealert,#whybealert,Hashtag / unclassified,2499,2026-08-18,2430,334,1469,0.3954732510288066,3601,86823,1473,10.720597064021112,0.02101929769841219,506.47077730429714,70.04239823270649,69,False,False,
#whytheinstructions,#whytheinstructions,Hashtag / unclassified,2496,2026-08-25,2414,328,1535,0.36412593206296606,4439,103606,1998,11.280924172188588,0.024883362198387514,450.69780992285433,68.6719609882092,82,False,False,
