value,observations
2026-08-28,29178486
2026-08-30,26596994
2026-08-26,26330932
2026-08-23,25374007
2026-08-21,25219502
2026-08-29,24918246
2026-08-27,24899335
2026-08-24,24628267
2026-08-20,24193655
2026-08-19,23829819
2026-08-22,23712893
2026-08-18,23132320
2026-08-25,22359683
2026-08-17,22264074
2026-08-31,20641425
2026-09-01,5159954
2026-09-07,2532099
2026-09-08,2183224
2026-09-15,1965897
2026-09-06,1885174
2026-09-14,1806193
2026-09-09,1625356
2026-09-05,1460257
2026-09-04,1426670
2026-09-16,1385010
2026-09-03,1300784
2026-09-13,1265266
2026-09-02,1211318
2026-09-12,942590
2026-09-10,799139
2026-09-11,794816
2026-09-17,327564
,1309
