value,observations
en,145166454
ja,97963448
es,28404750
pt,18493688
zxx,14605001
ko,11075518
th,10353271
tr,8316656
ar,8225733
fr,7665551
in,7548480
qme,5730913
und,4113343
hi,2570449
tl,2297449
fa,1943613
it,1839540
de,1776933
pl,1742634
zh,1697535
art,1600670
ur,1155931
ca,890041
et,832989
ru,819314
qst,811684
nl,773215
ta,727980
ht,549045
qht,518596
el,492992
iw,377235
sv,324042
qam,293920
fi,281800
uk,262999
vi,257015
cs,245223
ro,237553
da,210346
te,208862
eu,193657
<NULL>,179328
no,167049
cy,164001
mr,143165
sl,141841
sr,107480
lv,105968
hu,104592
lt,100065
ne,95489
ps,75237
my,50130
is,49280
ml,41639
kn,38076
bn,33273
bg,23925
dv,22978
gu,19766
am,16443
or,15089
ckb,14639
pa,11476
qct,10468
sd,7433
si,5747
lo,3347
hy,2968
ka,2712
km,2145
bo,318
ug,123
